,Index_,occurrencedate,reporteddate,premisetype,ucr_code,ucr_ext,offence,MCI,Division,Hood_ID,Neighbourhood,ObjectId,Lat,Long,Postal Code
16732,176987,2018-12-15T17:30:00.000Z,2018-12-15T20:37:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D42,130,Milliken (130),164337,43.8327065,-79.2679596,
16733,176989,2018-12-16T19:20:00.000Z,2018-12-17T08:13:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D43,127,Bendale (127),164339,43.7766533,-79.2542191,
16734,176990,2018-12-14T20:00:00.000Z,2018-12-15T08:10:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D53,98,Rosedale-Moore Park (98),164340,43.6902046,-79.3746338,
16735,176991,2018-12-16T15:30:00.000Z,2018-12-17T13:33:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D52,79,University (79),164341,43.6589546,-79.3946838,
16736,177014,2018-11-15T20:00:00.000Z,2018-11-16T10:29:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D55,121,Oakridge (121),164364,43.6912346,-79.2883606,
16737,177282,2018-06-10T15:50:00.000Z,2018-06-10T15:56:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D54,57,Broadview North (57),164391,43.69561,-79.3523865,
16738,177286,2018-10-13T21:01:00.000Z,2018-10-15T08:52:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D55,121,Oakridge (121),164395,43.6912346,-79.2883606,
16739,177287,2018-10-13T21:01:00.000Z,2018-10-15T08:52:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D55,121,Oakridge (121),164396,43.6912346,-79.2883606,
16740,177303,2018-06-23T19:00:00.000Z,2018-06-24T08:03:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D41,126,Dorset Park (126),164412,43.7609711,-79.280983,
16741,177304,2018-06-23T00:01:00.000Z,2018-06-23T12:28:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D43,137,Woburn (137),164413,43.762867,-79.2110519,
16742,177306,2018-06-27T11:50:00.000Z,2018-06-27T19:37:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D23,1,West Humber-Clairville (1),164415,43.7106895,-79.6113205,
